datetime	laboratory:daune:sbe37_bsh_6966:temperature_0001 [°C]	laboratory:daune:sbe37_bsh_6966:conductivity_0001 [S/m]	laboratory:daune:sbe37_bsh_6966:pressure_0001 [m]	laboratory:daune:sbe37_bsh_6966:salinity_0001 [PSU]
2020-09-19T00:00:08.000	17.7181	4.3017	9.518	32.7729
2020-09-19T00:00:18.000	17.7188	4.30183	9.47	32.7734
2020-09-19T00:00:28.000	17.7192	4.30178	9.504	32.7728
2020-09-19T00:00:38.000	17.7229	4.30207	9.537	32.7722
2020-09-19T00:00:48.000	17.7241	4.30226	9.502	32.7728
2020-09-19T00:00:58.000	17.7245	4.30225	9.511	32.7724
2020-09-19T00:01:08.000	17.7246	4.30218	9.506	32.7718
2020-09-19T00:01:18.000	17.7234	4.30214	9.506	32.7724
2020-09-19T00:01:28.000	17.7247	4.30225	9.51	32.7722
2020-09-19T00:01:38.000	17.725	4.30232	9.494	32.7726
2020-09-19T00:01:48.000	17.7242	4.30223	9.509	32.7725
2020-09-19T00:01:58.000	17.725	4.30225	9.504	32.7721
2020-09-19T00:02:08.000	17.7246	4.30228	9.5	32.7726
2020-09-19T00:02:18.000	17.7239	4.30219	9.511	32.7724
2020-09-19T00:02:28.000	17.7225	4.30211	9.487	32.7729
2020-09-19T00:02:38.000	17.7234	4.30214	9.512	32.7724
2020-09-19T00:02:48.000	17.7233	4.30214	9.508	32.7725
2020-09-19T00:02:58.000	17.7235	4.30212	9.504	32.7722
2020-09-19T00:03:08.000	17.7215	4.30209	9.482	32.7735
2020-09-19T00:03:18.000	17.72	4.30194	9.504	32.7735
2020-09-19T00:03:28.000	17.7183	4.30165	9.488	32.7723
2020-09-19T00:03:38.000	17.7195	4.30172	9.509	32.7719
2020-09-19T00:03:48.000	17.717	4.30161	9.491	32.773
2020-09-19T00:03:58.000	17.7191	4.30166	9.485	32.7718
2020-09-19T00:04:08.000	17.7182	4.30161	9.517	32.772
2020-09-19T00:04:18.000	17.7191	4.30171	9.519	32.7722
2020-09-19T00:04:28.000	17.7183	4.3016	9.488	32.7719
2020-09-19T00:04:38.000	17.7193	4.30168	9.486	32.7718
2020-09-19T00:04:48.000	17.7198	4.3017	9.519	32.7715
2020-09-19T00:04:58.000	17.7195	4.30173	9.478	32.772
2020-09-19T00:05:08.000	17.72	4.30175	9.534	32.7718
2020-09-19T00:05:18.000	17.7201	4.30181	9.488	32.7722
2020-09-19T00:05:28.000	17.7208	4.30183	9.511	32.7719
2020-09-19T00:05:38.000	17.7209	4.30186	9.507	32.7721
2020-09-19T00:05:48.000	17.7206	4.30186	9.503	32.7722
2020-09-19T00:05:58.000	17.7207	4.30186	9.485	32.7722
2020-09-19T00:06:08.000	17.7196	4.30186	9.496	32.7731
2020-09-19T00:06:18.000	17.7183	4.30171	9.502	32.7728
2020-09-19T00:06:28.000	17.7194	4.30179	9.498	32.7727
2020-09-19T00:06:38.000	17.7191	4.30178	9.496	32.7728
2020-09-19T00:06:48.000	17.7195	4.30178	9.499	32.7724
2020-09-19T00:06:58.000	17.7195	4.30179	9.518	32.7726
2020-09-19T00:07:08.000	17.7172	4.30156	9.476	32.7725
2020-09-19T00:07:18.000	17.7172	4.30167	9.5	32.7734
2020-09-19T00:07:28.000	17.7174	4.30154	9.479	32.7722
2020-09-19T00:07:38.000	17.7177	4.30157	9.486	32.7722
2020-09-19T00:07:48.000	17.7178	4.30164	9.509	32.7726
2020-09-19T00:07:58.000	17.7178	4.30168	9.501	32.773
2020-09-19T00:08:08.000	17.718	4.30163	9.504	32.7725
2020-09-19T00:08:18.000	17.7177	4.30158	9.492	32.7722
2020-09-19T00:08:28.000	17.7181	4.30165	9.486	32.7725
2020-09-19T00:08:38.000	17.7186	4.30167	9.497	32.7723
2020-09-19T00:08:48.000	17.7184	4.30168	9.501	32.7724
2020-09-19T00:08:58.000	17.7188	4.30175	9.49	32.7727
2020-09-19T00:09:08.000	17.7184	4.30171	9.494	32.7728
2020-09-19T00:09:18.000	17.7187	4.30171	9.508	32.7725
2020-09-19T00:09:28.000	17.7207	4.3019	9.481	32.7725
